,"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),"Domestic Beer (0,5 liter draught)","Imported Beer (0,33 liter bottle)","Coke/Pepsi (0,33 liter bottle)","Water (0,33 liter bottle) ","Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Local Cheese (1kg),"Water (1,5 liter bottle)",Bottle of Wine (Mid-Range),"Domestic Beer (0,5 liter bottle)","Imported Beer (0,33 liter bottle)",Cigarettes 20 Pack (Marlboro),One-way Ticket (Local Transport),"Chicken Breasts (Boneless, Skinless), (1kg)",Monthly Pass (Regular Price),Gasoline (1 liter),Volkswagen Golf,Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","1 min, of Prepaid Mobile Tariff Local (No Discounts or Plans)","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ,,,)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,Average Monthly Net Salary (After Tax),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",Taxi Start (Normal Tariff),Taxi 1km (Normal Tariff),Taxi 1hour Waiting (Normal Tariff),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),Cappuccino (regular),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),"Toyota Corolla 1,6l 97kW Comfort (Or Equivalent New Car)","Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","International Primary School, Yearly for 1 Child"
"Panama City, Panama","8,98 €","35,94 €","6,06 €","2,58 €","3,59 €","1,14 €","0,92 €","1,38 €","1,79 €","1,95 €","10,27 €","1,46 €","8,31 €","0,71 €","2,35 €","4,69 €","0,22 €","6,55 €","17,97 €","0,72 €","16.172,73 €","811,63 €","547,73 €","1.387,66 €","962,66 €","90,98 €","0,11 €","41,58 €","40,47 €","22,46 €","5,39 €","44,34 €","32,52 €","59,09 €","76,53 €","1.953,02 €","1.430,09 €","706,33 €","5,26 €","1,80 €","1,80 €","8,98 €","3,26 €","2,59 €","1,76 €","2,02 €","2,63 €","1,51 €","2,68 €","1,44 €","1,88 €","9,79 €","17.281,60 €","231,77 €","6.092,58 €"
"Thessaloniki, Greece","10,00 €","35,00 €","6,50 €","3,50 €","4,50 €","1,46 €","0,50 €","1,11 €","0,91 €","3,03 €","7,52 €","0,78 €","6,50 €","1,14 €","1,93 €","4,50 €","1,00 €","6,68 €","30,00 €","1,56 €","18.500,00 €","336,96 €","269,45 €","543,56 €","440,83 €","160,39 €","0,44 €","30,22 €","31,30 €","9,98 €","8,00 €","74,39 €","27,60 €","71,64 €","87,50 €","1.745,83 €","1.279,03 €","660,51 €","4,56 €","3,50 €","1,00 €","11,81 €","1,15 €","1,13 €","0,71 €","0,81 €","3,21 €","1,52 €","1,16 €","1,47 €","0,77 €","8,26 €","18.173,50 €","301,04 €","6.775,00 €"
"Athens, Greece","10,00 €","40,00 €","6,00 €","4,00 €","4,00 €","1,54 €","0,50 €","1,23 €","0,79 €","2,92 €","8,38 €","0,83 €","7,50 €","1,40 €","2,00 €","4,50 €","1,40 €","7,06 €","30,00 €","1,59 €","18.000,00 €","377,05 €","338,69 €","677,00 €","612,70 €","138,77 €","0,34 €","31,08 €","28,60 €","17,98 €","8,00 €","71,23 €","28,60 €","78,22 €","92,58 €","1.886,28 €","1.748,42 €","787,01 €","4,73 €","3,50 €","0,74 €","11,81 €","1,34 €","1,00 €","0,94 €","0,62 €","3,15 €","1,70 €","1,58 €","1,44 €","0,86 €","9,27 €","18.860,32 €","366,83 €","7.385,58 €"
"Vienna, Austria","10,00 €","45,00 €","7,25 €","4,00 €","4,00 €","2,77 €","2,05 €","1,03 €","1,75 €","2,55 €","10,41 €","0,54 €","6,99 €","0,97 €","1,54 €","5,50 €","2,40 €","8,95 €","48,00 €","1,24 €","22.700,00 €","858,37 €","621,65 €","1.584,20 €","1.105,34 €","158,45 €","0,04 €","30,86 €","27,44 €","18,33 €","10,00 €","78,53 €","32,94 €","81,50 €","108,19 €","6.403,78 €","4.164,43 €","1.900,43 €","2,10 €","4,00 €","1,42 €","27,80 €","1,99 €","2,08 €","1,29 €","1,19 €","3,19 €","1,26 €","2,33 €","1,67 €","1,34 €","14,30 €","22.357,62 €","211,88 €","16.035,71 €"
"Frankfurt, Germany","10,00 €","50,00 €","8,00 €","4,00 €","3,50 €","2,39 €","2,10 €","0,72 €","1,27 €","1,94 €","7,77 €","0,50 €","5,00 €","0,88 €","1,20 €","6,40 €","2,75 €","8,11 €","90,40 €","1,43 €","25.000,00 €","986,97 €","723,80 €","1.878,93 €","1.307,69 €","265,52 €","0,10 €","30,74 €","45,06 €","20,92 €","12,00 €","73,23 €","34,45 €","88,13 €","100,52 €","6.486,36 €","4.142,86 €","2.618,29 €","1,91 €","3,50 €","2,00 €","33,00 €","2,24 €","1,77 €","1,31 €","0,89 €","2,74 €","1,90 €","2,35 €","1,52 €","1,34 €","9,58 €","21.048,75 €","374,56 €","12.630,00 €"
"Melbourne, Australia","10,22 €","49,54 €","7,12 €","5,57 €","5,57 €","1,91 €","1,70 €","0,90 €","1,88 €","2,85 €","6,12 €","1,28 €","9,29 €","3,13 €","3,37 €","19,01 €","2,72 €","6,64 €","95,36 €","0,91 €","15.479,87 €","1.134,86 €","859,46 €","2.027,71 €","1.341,31 €","127,87 €","0,12 €","43,28 €","46,28 €","14,14 €","12,38 €","61,86 €","36,07 €","75,79 €","84,07 €","5.967,57 €","4.802,08 €","2.791,96 €","4,11 €","3,10 €","1,11 €","21,18 €","2,56 €","2,15 €","2,24 €","1,57 €","2,63 €","1,58 €","3,06 €","2,20 €","1,78 €","9,42 €","15.221,84 €","1.250,41 €","12.874,09 €"
"Winnipeg, Canada","10,31 €","41,25 €","6,80 €","4,12 €","4,81 €","1,49 €","1,26 €","1,21 €","1,71 €","2,17 €","6,95 €","1,53 €","10,31 €","1,59 €","1,92 €","11,00 €","2,03 €","9,04 €","68,75 €","0,77 €","17.186,61 €","679,10 €","640,46 €","1.000,58 €","944,40 €","87,74 €","0,19 €","48,43 €","34,77 €","14,29 €","8,94 €","41,31 €","28,48 €","64,95 €","75,29 €","2.217,04 €","1.765,32 €","2.068,87 €","3,45 €","2,58 €","1,18 €","21,45 €","2,61 €","1,74 €","1,57 €","1,73 €","3,09 €","2,62 €","2,27 €","1,17 €","1,24 €","9,21 €","16.214,83 €","375,57 €","7.763,44 €"
"Montreal, Canada","10,31 €","44,69 €","6,87 €","4,81 €","5,50 €","1,50 €","1,16 €","1,40 €","2,39 €","2,23 €","12,14 €","1,42 €","11,68 €","1,77 €","2,11 €","8,25 €","2,41 €","10,80 €","59,47 €","0,88 €","16.499,14 €","871,26 €","551,99 €","1.481,25 €","942,77 €","66,62 €","0,23 €","42,59 €","23,04 €","11,17 €","8,94 €","44,12 €","31,69 €","68,19 €","82,98 €","3.863,77 €","2.297,90 €","2.182,51 €","3,46 €","2,41 €","1,20 €","26,81 €","2,55 €","2,74 €","1,69 €","1,66 €","2,83 €","2,09 €","3,01 €","1,33 €","1,73 €","11,84 €","15.522,12 €","450,09 €","5.704,32 €"
"Gothenburg, Sweden","10,45 €","75,97 €","7,60 €","6,31 €","6,17 €","2,22 €","1,76 €","1,10 €","2,32 €","2,53 €","8,89 €","1,30 €","9,02 €","1,56 €","1,79 €","6,17 €","2,66 €","9,16 €","62,44 €","1,49 €","18.991,75 €","952,59 €","715,92 €","1.561,88 €","1.138,77 €","51,69 €","0,08 €","30,42 €","32,03 €","20,70 €","12,34 €","77,49 €","36,36 €","74,20 €","108,28 €","5.547,68 €","3.692,31 €","2.183,46 €","2,80 €","4,84 €","1,36 €","51,18 €","2,40 €","2,18 €","1,03 €","1,84 €","3,58 €","2,31 €","2,83 €","2,00 €","1,13 €","14,08 €","18.262,15 €","127,02 €","1.660,95 €"
"Phoenix, AZ, United States","10,77 €","53,87 €","6,73 €","3,59 €","4,49 €","1,53 €","1,07 €","0,51 €","2,18 €","1,85 €","9,65 €","1,62 €","9,88 €","1,41 €","1,75 €","6,73 €","1,80 €","7,90 €","57,47 €","0,70 €","19.156,78 €","1.092,25 €","824,80 €","1.657,74 €","1.317,96 €","161,50 €","0,10 €","67,23 €","27,66 €","7,38 €","9,88 €","35,14 €","30,88 €","66,48 €","82,84 €","2.150,04 €","1.403,23 €","3.113,47 €","4,20 €","2,92 €","1,24 €","32,32 €","2,93 €","3,03 €","1,99 €","1,06 €","3,60 €","4,53 €","3,19 €","1,38 €","1,91 €","9,60 €","18.257,94 €","678,35 €","13.498,49 €"
"Ottawa, Canada","11,00 €","55,00 €","6,87 €","4,81 €","4,81 €","1,39 €","1,18 €","1,44 €","1,94 €","2,08 €","8,14 €","1,21 €","10,31 €","1,57 €","1,94 €","9,97 €","2,41 €","9,04 €","80,09 €","0,81 €","17.186,61 €","961,81 €","745,27 €","1.642,15 €","1.256,39 €","102,76 €","0,18 €","43,85 €","40,21 €","16,84 €","9,62 €","45,53 €","34,91 €","72,18 €","99,17 €","3.379,74 €","2.010,41 €","2.904,67 €","3,63 €","2,65 €","1,21 €","13,67 €","2,70 €","3,06 €","1,44 €","1,75 €","2,85 €","2,42 €","2,36 €","1,06 €","1,44 €","10,43 €","16.072,54 €","782,15 €","9.040,16 €"
"Barcelona, Spain","11,00 €","40,00 €","7,00 €","2,50 €","3,00 €","1,63 €","1,22 €","0,86 €","0,99 €","1,56 €","10,88 €","0,61 €","6,00 €","0,83 €","1,44 €","5,00 €","2,15 €","6,46 €","50,00 €","1,33 €","22.000,00 €","950,28 €","725,42 €","1.502,94 €","1.088,73 €","136,65 €","0,13 €","42,57 €","41,14 €","18,46 €","8,50 €","72,91 €","25,34 €","79,48 €","92,50 €","4.342,92 €","3.044,23 €","1.444,48 €","2,39 €","2,50 €","1,15 €","22,10 €","1,73 €","1,34 €","0,99 €","0,94 €","1,79 €","1,02 €","1,51 €","1,53 €","1,24 €","10,26 €","20.971,43 €","438,89 €","7.885,00 €"
"Hamburg, Germany","11,00 €","50,00 €","8,00 €","4,00 €","3,50 €","2,60 €","2,09 €","0,85 €","1,58 €","2,00 €","8,33 €","0,51 €","5,00 €","0,80 €","1,18 €","6,40 €","3,20 €","8,51 €","86,00 €","1,42 €","20.000,00 €","873,12 €","647,42 €","1.730,00 €","1.306,25 €","232,62 €","0,10 €","31,29 €","42,00 €","21,11 €","12,00 €","76,37 €","33,13 €","90,08 €","120,78 €","6.250,00 €","3.735,71 €","2.532,52 €","1,88 €","3,50 €","2,00 €","30,00 €","2,29 €","2,37 €","1,50 €","1,04 €","2,91 €","2,21 €","2,57 €","1,63 €","1,42 €","11,53 €","18.687,14 €","279,09 €","13.891,67 €"
"Adelaide, Australia","11,19 €","40,39 €","6,84 €","4,97 €","5,59 €","2,15 €","1,72 €","0,97 €","1,44 €","2,50 €","5,91 €","1,46 €","9,32 €","3,41 €","4,07 €","18,64 €","2,36 €","6,45 €","61,52 €","0,93 €","15.534,80 €","817,81 €","601,79 €","1.369,39 €","971,70 €","119,44 €","0,32 €","41,95 €","34,05 €","1,42 €","9,32 €","56,55 €","35,40 €","75,21 €","76,91 €","2.482,56 €","1.715,15 €","2.653,26 €","4,10 €","2,80 €","1,16 €","24,48 €","2,63 €","2,12 €","1,75 €","1,76 €","2,63 €","1,61 €","2,61 €","2,11 €","1,52 €","10,09 €","15.167,61 €","396,25 €","8.815,92 €"
"Stockholm, Sweden","11,40 €","66,47 €","7,60 €","6,55 €","6,65 €","2,30 €","1,97 €","1,16 €","2,18 €","2,81 €","8,17 €","1,61 €","9,50 €","1,82 €","1,88 €","6,17 €","3,80 €","9,81 €","84,51 €","1,49 €","20.354,40 €","1.167,36 €","804,10 €","1.930,04 €","1.198,21 €","75,90 €","0,12 €","27,98 €","37,83 €","26,69 €","12,82 €","85,93 €","33,52 €","92,50 €","126,60 €","8.841,79 €","5.282,64 €","2.476,17 €","2,46 €","4,27 €","1,31 €","49,38 €","2,47 €","2,35 €","1,18 €","1,81 €","3,64 €","2,43 €","3,11 €","2,21 €","1,20 €","14,86 €","20.991,58 €","116,13 €","5.785,11 €"
"Vancouver, Canada","11,69 €","55,00 €","6,87 €","4,81 €","4,81 €","1,40 €","1,26 €","1,63 €","2,36 €","2,71 €","11,49 €","1,71 €","13,75 €","2,06 €","2,63 €","10,31 €","2,06 €","10,61 €","67,37 €","1,07 €","17.186,61 €","1.424,90 €","1.133,13 €","2.586,43 €","1.863,02 €","62,72 €","0,25 €","48,94 €","35,60 €","10,70 €","10,31 €","47,41 €","35,88 €","72,71 €","97,36 €","8.649,48 €","6.413,13 €","2.625,31 €","3,78 €","2,41 €","1,30 €","23,28 €","2,70 €","2,76 €","2,22 €","1,86 €","3,05 €","2,87 €","3,31 €","1,28 €","2,29 €","12,43 €","16.057,11 €","849,75 €","14.093,02 €"
"Sydney, Australia","11,81 €","54,37 €","7,15 €","4,97 €","4,97 €","1,99 €","1,68 €","0,90 €","1,85 €","2,79 €","7,68 €","1,29 €","11,19 €","3,42 €","3,73 €","20,82 €","2,73 €","7,15 €","130,49 €","0,93 €","15.845,50 €","1.568,39 €","1.140,67 €","2.674,32 €","1.810,32 €","110,70 €","0,38 €","43,51 €","47,37 €","13,50 €","12,43 €","61,22 €","38,11 €","86,50 €","94,94 €","8.435,22 €","5.375,57 €","3.018,36 €","3,82 €","2,49 €","1,37 €","35,05 €","2,77 €","2,38 €","2,08 €","1,59 €","2,48 €","1,65 €","3,01 €","2,17 €","1,72 €","11,24 €","15.066,62 €","1.389,43 €","11.933,55 €"
"Auckland, New Zealand","11,95 €","50,78 €","6,57 €","5,68 €","5,38 €","2,00 €","1,89 €","1,59 €","1,42 €","2,82 €","5,80 €","1,31 €","8,96 €","3,24 €","2,76 €","17,92 €","2,24 €","7,54 €","128,44 €","1,33 €","20.909,09 €","1.127,81 €","947,13 €","2.002,12 €","1.640,38 €","99,55 €","0,31 €","49,79 €","37,68 €","10,73 €","10,75 €","63,43 €","33,45 €","83,44 €","101,35 €","6.247,73 €","5.090,16 €","2.344,96 €","4,22 €","2,27 €","1,49 €","31,36 €","2,23 €","2,40 €","2,18 €","1,71 €","2,83 €","1,68 €","2,93 €","1,70 €","1,66 €","10,36 €","17.575,02 €","704,18 €","12.204,08 €"
"Madrid, Spain","12,00 €","40,00 €","8,00 €","3,00 €","3,00 €","1,71 €","1,30 €","0,83 €","1,05 €","1,65 €","9,87 €","0,71 €","5,45 €","0,99 €","1,69 €","5,00 €","1,50 €","6,23 €","54,60 €","1,34 €","20.000,00 €","933,23 €","703,38 €","1.643,28 €","1.122,10 €","119,87 €","0,17 €","41,89 €","35,57 €","11,08 €","9,00 €","71,00 €","26,98 €","71,17 €","86,22 €","5.233,54 €","2.966,34 €","1.578,77 €","2,13 €","3,00 €","1,10 €","23,50 €","1,75 €","1,56 €","1,05 €","0,99 €","1,76 €","1,03 €","1,77 €","1,70 €","1,11 €","10,71 €","21.470,45 €","442,96 €","7.353,81 €"
"Munich, Germany","12,00 €","60,00 €","8,00 €","3,80 €","3,90 €","2,73 €","2,44 €","0,86 €","1,56 €","2,30 €","10,39 €","0,58 €","5,00 €","0,95 €","1,15 €","6,50 €","2,90 €","7,59 €","66,00 €","1,43 €","22.500,00 €","1.198,00 €","873,39 €","2.191,11 €","1.681,91 €","242,66 €","0,10 €","34,09 €","34,69 €","20,58 €","12,00 €","76,44 €","32,85 €","84,29 €","124,00 €","10.308,33 €","7.458,70 €","2.627,51 €","1,76 €","3,70 €","1,90 €","29,00 €","2,26 €","2,12 €","1,19 €","0,90 €","2,98 €","1,80 €","2,49 €","1,79 €","1,24 €","12,24 €","20.552,31 €","567,78 €","11.166,67 €"
"Helsinki, Finland","12,00 €","65,00 €","8,00 €","6,50 €","6,75 €","2,66 €","1,89 €","0,96 €","2,27 €","2,02 €","6,87 €","1,54 €","12,00 €","2,23 €","2,95 €","7,70 €","2,80 €","9,42 €","59,70 €","1,54 €","22.000,00 €","986,93 €","758,13 €","1.819,32 €","1.271,16 €","82,66 €","0,07 €","22,31 €","34,54 €","24,72 €","14,00 €","83,41 €","31,41 €","82,49 €","120,97 €","7.444,54 €","4.099,36 €","2.382,56 €","1,38 €","6,00 €","1,00 €","47,04 €","2,10 €","1,75 €","0,91 €","2,30 €","3,87 €","2,13 €","2,91 €","1,61 €","1,25 €","12,34 €","24.402,77 €","351,60 €","1.641,00 €"
"Victoria, Canada","12,05 €","49,93 €","6,89 €","4,82 €","4,82 €","1,55 €","1,41 €","1,53 €","2,16 €","2,51 €","8,83 €","1,62 €","13,77 €","2,02 €","2,08 €","9,64 €","1,72 €","10,94 €","58,54 €","0,98 €","17.217,21 €","1.047,12 €","872,60 €","1.847,98 €","1.513,30 €","78,71 €","0,21 €","54,21 €","36,17 €","7,52 €","10,33 €","44,76 €","29,97 €","74,95 €","106,60 €","4.399,40 €","2.753,97 €","2.338,36 €","3,70 €","2,34 €","1,35 €","28,69 €","3,06 €","2,66 €","2,37 €","1,76 €","3,12 €","4,41 €","3,52 €","1,05 €","2,15 €","11,18 €","15.784,74 €","710,97 €","10.171,93 €"
"Brisbane, Australia","12,38 €","49,54 €","7,43 €","4,95 €","5,57 €","2,04 €","1,61 €","0,90 €","1,73 €","2,45 €","5,54 €","1,34 €","12,38 €","3,36 €","3,69 €","18,58 €","2,48 €","6,23 €","94,23 €","0,92 €","15.479,87 €","1.041,75 €","757,35 €","1.796,62 €","1.148,61 €","108,52 €","0,18 €","47,06 €","40,03 €","13,15 €","9,29 €","59,31 €","32,05 €","87,00 €","83,57 €","3.996,61 €","2.656,91 €","3.030,03 €","4,02 €","2,60 €","1,34 €","30,46 €","2,58 €","2,55 €","1,95 €","1,49 €","2,80 €","1,43 €","3,24 €","2,05 €","1,60 €","10,46 €","14.810,45 €","1.074,36 €","8.746,12 €"
"Perth, Australia","12,43 €","56,55 €","7,32 €","5,90 €","5,59 €","1,79 €","1,62 €","1,03 €","1,76 €","2,59 €","6,52 €","1,68 €","9,32 €","2,99 €","3,96 €","18,64 €","2,58 €","6,90 €","84,02 €","0,87 €","16.149,98 €","897,50 €","639,56 €","1.474,61 €","982,76 €","129,02 €","0,32 €","43,78 €","39,32 €","11,99 €","11,19 €","57,64 €","32,49 €","76,64 €","86,35 €","4.005,94 €","2.866,79 €","2.493,77 €","4,31 €","3,11 €","1,07 €","30,45 €","2,41 €","2,15 €","1,54 €","1,26 €","2,86 €","1,96 €","2,40 €","2,11 €","1,29 €","9,49 €","15.239,20 €","1.190,12 €","11.526,08 €"
"Portland, OR, United States","12,58 €","44,92 €","6,74 €","4,49 €","4,49 €","1,78 €","1,35 €","0,78 €","2,83 €","2,62 €","12,78 €","1,75 €","12,58 €","1,83 €","3,14 €","6,29 €","2,25 €","9,98 €","89,85 €","0,77 €","21.563,64 €","1.399,80 €","1.045,69 €","2.472,70 €","1.769,49 €","150,98 €","0,12 €","60,86 €","39,90 €","18,12 €","10,78 €","45,22 €","34,47 €","72,05 €","86,29 €","3.522,58 €","2.371,28 €","3.403,15 €","4,18 €","2,70 €","1,45 €","29,20 €","4,70 €","3,22 €","1,78 €","1,47 €","3,85 €","3,91 €","3,67 €","1,30 €","1,90 €","14,63 €","20.494,34 €","1.076,09 €","16.387,06 €"
"Rotterdam, Netherlands","13,00 €","50,00 €","8,00 €","4,00 €","4,00 €","2,09 €","1,59 €","0,89 €","1,12 €","2,20 €","9,64 €","0,73 €","5,00 €","0,94 €","1,54 €","7,00 €","4,00 €","7,90 €","70,42 €","1,65 €","23.600,00 €","1.103,13 €","844,33 €","1.845,83 €","1.230,43 €","153,76 €","0,13 €","38,20 €","28,80 €","19,25 €","12,00 €","84,50 €","31,55 €","85,25 €","130,28 €","3.648,71 €","2.604,81 €","2.312,39 €","2,21 €","3,00 €","2,17 €","25,00 €","2,09 €","1,47 €","1,28 €","1,03 €","2,73 €","1,70 €","2,47 €","1,73 €","1,21 €","12,69 €","23.899,00 €","1.116,67 €","10.142,86 €"
"Chicago, IL, United States","13,47 €","53,87 €","7,18 €","4,94 €","6,29 €","1,75 €","1,52 €","0,70 €","2,54 €","2,05 €","9,95 €","2,08 €","12,57 €","1,82 €","1,88 €","11,67 €","2,24 €","9,53 €","94,28 €","0,74 €","19.614,71 €","1.702,25 €","1.100,17 €","3.168,97 €","1.953,12 €","117,08 €","0,16 €","57,23 €","42,52 €","23,05 €","11,67 €","45,28 €","35,06 €","73,00 €","96,56 €","3.656,41 €","1.816,95 €","3.717,02 €","4,23 €","2,92 €","1,26 €","21,55 €","4,47 €","3,69 €","2,22 €","1,42 €","3,69 €","3,92 €","3,52 €","1,47 €","2,39 €","12,40 €","18.842,65 €","1.025,73 €","15.972,64 €"
"Boston, MA, United States","13,47 €","62,85 €","7,18 €","6,29 €","6,73 €","1,75 €","1,53 €","0,78 €","2,62 €","2,34 €","12,75 €","1,58 €","13,02 €","2,01 €","2,32 €","9,88 €","2,22 €","11,00 €","80,81 €","0,66 €","19.789,80 €","2.275,95 €","1.716,68 €","3.574,70 €","2.503,07 €","119,59 €","0,08 €","61,70 €","51,97 €","15,39 €","13,47 €","43,34 €","27,76 €","71,03 €","91,75 €","8.867,39 €","4.036,93 €","4.132,08 €","4,22 €","2,69 €","1,67 €","25,14 €","3,96 €","4,17 €","1,79 €","1,68 €","3,60 €","3,68 €","5,14 €","1,39 €","3,40 €","14,07 €","18.411,02 €","1.534,76 €","24.642,48 €"
"Los Angeles, CA, United States","13,47 €","58,36 €","7,18 €","5,39 €","6,29 €","2,03 €","1,59 €","0,87 €","2,99 €","2,91 €","9,48 €","1,77 €","10,77 €","1,68 €","2,24 €","8,87 €","1,57 €","9,90 €","89,79 €","0,94 €","19.753,89 €","1.980,11 €","1.564,78 €","3.611,37 €","2.696,53 €","111,99 €","0,11 €","55,74 €","36,78 €","10,56 €","13,47 €","44,31 €","30,85 €","70,02 €","94,26 €","7.026,01 €","4.434,17 €","3.968,48 €","4,13 €","2,69 €","1,67 €","26,21 €","3,93 €","2,73 €","2,36 €","1,25 €","4,01 €","3,25 €","2,98 €","1,81 €","1,82 €","11,60 €","18.702,58 €","951,17 €","19.335,55 €"
"Las Vegas, NV, United States","13,47 €","53,87 €","7,18 €","5,39 €","6,29 €","1,45 €","1,06 €","0,70 €","1,81 €","1,64 €","7,05 €","1,05 €","11,63 €","1,88 €","2,72 €","7,17 €","1,80 €","5,68 €","58,36 €","0,76 €","18.856,43 €","992,86 €","874,56 €","1.665,00 €","1.339,05 €","138,51 €","0,19 €","64,64 €","23,03 €","21,05 €","10,77 €","39,76 €","30,57 €","66,91 €","82,55 €","1.935,47 €","1.509,67 €","3.132,38 €","4,31 €","3,14 €","1,54 €","29,09 €","2,86 €","2,34 €","2,17 €","1,27 €","3,65 €","2,98 €","2,99 €","1,32 €","1,79 €","10,05 €","19.092,70 €","786,60 €","12.507,10 €"
"Dallas, TX, United States","13,48 €","44,92 €","6,51 €","4,49 €","5,39 €","1,69 €","1,42 €","0,64 €","2,20 €","1,85 €","6,88 €","1,41 €","10,78 €","2,18 €","2,58 €","6,29 €","2,70 €","9,10 €","86,25 €","0,56 €","17.071,22 €","1.322,45 €","961,01 €","2.476,25 €","1.607,56 €","139,51 €","0,13 €","59,67 €","32,58 €","2,99 €","10,78 €","36,03 €","39,50 €","70,62 €","89,32 €","2.375,25 €","1.391,52 €","4.202,00 €","4,19 €","2,94 €","1,06 €","18,42 €","3,70 €","3,04 €","1,81 €","1,28 €","3,46 €","3,54 €","2,87 €","1,07 €","1,99 €","9,90 €","17.561,12 €","800,09 €","16.891,52 €"
"Houston, TX, United States","13,48 €","53,91 €","6,74 €","5,39 €","5,84 €","1,81 €","1,59 €","0,68 €","2,03 €","1,92 €","8,00 €","1,38 €","10,78 €","2,06 €","2,53 €","6,29 €","1,12 €","6,45 €","44,25 €","0,57 €","20.170,99 €","1.258,81 €","859,49 €","2.166,31 €","1.494,14 €","122,34 €","0,13 €","54,13 €","32,13 €","10,14 €","9,70 €","36,88 €","33,83 €","61,38 €","86,21 €","1.989,15 €","1.047,43 €","3.568,78 €","4,14 €","2,52 €","1,54 €","21,56 €","3,19 €","3,10 €","1,95 €","1,15 €","4,03 €","3,09 €","2,07 €","1,25 €","1,59 €","9,17 €","18.944,36 €","806,88 €","18.762,48 €"
"San Diego, CA, United States","13,48 €","53,91 €","6,74 €","5,39 €","6,29 €","1,74 €","1,39 €","0,88 €","3,27 €","3,20 €","10,03 €","1,63 €","10,78 €","1,76 €","2,14 €","7,19 €","2,25 €","8,40 €","64,69 €","0,92 €","20.665,15 €","1.816,10 €","1.479,24 €","3.254,51 €","2.492,91 €","123,99 €","0,17 €","56,97 €","32,62 €","13,48 €","12,58 €","43,37 €","32,83 €","69,96 €","101,32 €","5.352,13 €","3.605,03 €","4.293,13 €","4,11 €","2,52 €","1,67 €","22,46 €","3,31 €","2,21 €","2,27 €","1,19 €","3,83 €","3,96 €","3,36 €","1,60 €","2,06 €","10,74 €","18.876,87 €","967,85 €","16.232,63 €"
"Austin, TX, United States","13,48 €","44,92 €","7,19 €","4,49 €","5,39 €","1,87 €","1,37 €","0,75 €","2,40 €","2,24 €","9,01 €","1,38 €","10,78 €","2,14 €","3,00 €","6,06 €","1,12 €","7,26 €","37,06 €","0,56 €","19.627,40 €","1.581,66 €","995,90 €","2.750,15 €","1.714,92 €","124,12 €","0,09 €","55,38 €","34,53 €","14,60 €","10,78 €","39,01 €","33,93 €","67,69 €","88,55 €","3.919,75 €","1.955,36 €","4.097,92 €","4,09 €","2,25 €","1,51 €","26,06 €","4,02 €","3,58 €","2,25 €","1,45 €","3,95 €","2,60 €","3,19 €","1,04 €","1,82 €","10,60 €","18.743,38 €","890,67 €","17.537,93 €"
"Seattle, WA, United States","13,48 €","62,89 €","7,19 €","5,39 €","5,84 €","1,97 €","1,52 €","0,77 €","2,76 €","2,40 €","14,42 €","1,68 €","13,48 €","1,83 €","2,19 €","9,66 €","2,47 €","11,23 €","88,95 €","0,84 €","22.462,12 €","1.919,17 €","1.450,04 €","3.199,48 €","2.321,44 €","144,15 €","0,09 €","58,46 €","48,94 €","26,51 €","13,48 €","42,55 €","35,25 €","75,86 €","111,44 €","6.588,64 €","4.065,00 €","4.741,65 €","4,14 €","2,34 €","1,51 €","26,95 €","4,69 €","3,38 €","2,30 €","1,73 €","3,81 €","4,10 €","4,28 €","1,67 €","2,32 €","13,11 €","20.472,62 €","1.568,61 €","19.730,73 €"
"Calgary, Canada","13,75 €","42,97 €","6,87 €","4,81 €","5,50 €","1,63 €","1,51 €","1,35 €","1,83 €","2,19 €","9,53 €","1,59 €","10,31 €","2,53 €","2,75 €","11,00 €","2,34 €","9,17 €","72,87 €","0,72 €","17.186,61 €","833,74 €","661,22 €","1.352,81 €","1.045,82 €","132,57 €","0,19 €","54,67 €","40,58 €","16,06 €","9,62 €","42,31 €","30,61 €","66,55 €","84,89 €","3.412,99 €","2.123,54 €","2.956,33 €","3,48 €","2,61 €","1,15 €","19,80 €","2,80 €","2,76 €","1,50 €","1,63 €","3,14 €","2,00 €","2,42 €","1,21 €","1,58 €","10,19 €","15.976,18 €","780,68 €","10.418,14 €"
